Size,cuBLAS_ms,cuBLAS_TFLOPS,blockSize,ms,TFLOPS
32,157.349884,0.000000,16,0.079872,0.000821
32,0.021504,0.003048,16,0.010240,0.006400
32,0.015360,0.004267,16,0.010240,0.006400
64,0.024576,0.021333,16,0.014336,0.036571
64,0.016384,0.032000,16,0.013312,0.039385
64,0.016384,0.032000,16,0.012288,0.042667
128,7.394304,0.000567,16,0.022528,0.186182
128,0.018432,0.227556,16,0.021504,0.195048
128,0.017408,0.240941,16,0.021504,0.195048
256,0.038592,0.869466,16,0.045344,0.739997
256,0.027584,1.216445,16,0.044352,0.756548
256,0.027264,1.230723,16,0.044256,0.758189
512,0.105920,2.534323,16,0.153856,1.744719
512,0.068960,3.892625,16,0.150176,1.787472
512,0.069088,3.885414,16,0.150144,1.787853
1024,1.779264,1.206951,16,0.869792,2.468962
1024,0.342144,6.276549,16,0.873216,2.459281
1024,0.339776,6.320292,16,0.869280,2.470417
2048,2.505504,6.856852,16,6.578048,2.611697
2048,2.443328,7.031340,16,6.577952,2.611735
2048,2.471776,6.950415,16,6.595680,2.604715
4096,17.752895,7.741777,16,78.844322,1.743169
4096,20.423008,6.729614,16,76.214592,1.803315
4096,19.826431,6.932108,16,74.324867,1.849165
8192,145.839737,7.539177,16,474.807953,2.315698
8192,149.268219,7.366013,16,474.437531,2.317506
8192,152.275833,7.220526,16,474.484009,2.317279
16384,1113.761963,7.897642,16,3842.888184,2.288928
16384,943.902100,9.318862,16,3834.972168,2.293652
16384,944.509155,9.312872,16,3825.513672,2.299323
